trade_date,instrument_type,side,quantity,price_per_cert,counterparty_name,client_name,settlement_status
2024-01-08,ESC,buy,1000,7.04,GreenPower Solutions,,settled
2024-01-12,ESC,buy,500,7.13,Energy Makeovers,,settled
2024-01-12,ESC,buy,10000,6.89,TradeCert Australia,,settled
2024-01-12,ESC,sell,1000,6.90,TradeCert Australia,EnergyAustralia,settled
2024-01-16,VEEC,buy,200,57.96,TradeCert Australia,,settled
2024-01-24,ESC,sell,10000,7.07,Greenfleet,Endeavour Energy,settled
2024-01-25,ESC,buy,10000,6.78,CER Registry Services,,settled
2024-01-29,ESC,buy,2000,6.69,Energy Makeovers,,settled
2024-01-29,ESC,buy,2000,7.28,GreenPower Solutions,,settled
2024-02-13,ESC,sell,10000,6.89,Energy Makeovers,Endeavour Energy,settled
2024-02-16,VEEC,buy,2000,60.52,Carbon Market Solutions,,pending
2024-02-23,ESC,buy,500,6.94,Sustainable Australia Fund,,settled
2024-02-28,ESC,buy,5000,6.69,CER Registry Services,,settled
2024-03-07,ESC,sell,3000,6.74,GreenPower Solutions,EnergyAustralia,settled
2024-03-08,ESC,sell,3000,7.15,TradeCert Australia,EnergyAustralia,settled
2024-03-05,ESC,buy,500,6.93,Energy Makeovers,,settled
2024-03-12,VEEC,buy,200,59.56,TradeCert Australia,,settled
2024-03-14,ESC,sell,500,6.48,Energy Makeovers,Endeavour Energy,settled
2024-03-13,ESC,buy,3000,6.83,Ecovantage Pty Ltd,,pending
2024-03-13,VEEC,sell,3000,60.25,Energy Makeovers,EnergyAustralia,settled
2024-03-15,ESC,buy,1000,6.51,Ecovantage Pty Ltd,,settled
2024-03-21,ESC,sell,2000,6.56,Sustainable Australia Fund,Origin Energy,settled
2024-03-29,VEEC,buy,2000,61.72,Energy Makeovers,,pending
2024-04-05,VEEC,buy,2000,62.09,GreenPower Solutions,,settled
2024-04-05,ESC,buy,5000,6.51,Sustainable Australia Fund,,settled
2024-04-11,VEEC,sell,2000,60.22,Greenfleet,Origin Energy,settled
2024-04-08,ESC,buy,1000,6.46,Sustainable Australia Fund,,settled
2024-04-08,ESC,sell,2000,6.44,Energy Makeovers,Endeavour Energy,settled
2024-04-18,ESC,buy,5000,6.73,Greenfleet,,settled
